Player,Email,Phone,Times Played,Singles,Doubled_Ad,Doubles_Deuce,Either,1/6/2020,1/13/2020,1/20/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/16/2020
Player 1,player.1@gail.com,612-111-1111,5,,,,1,1,1,,1,,1,,1,1
Player 2,player.2@gail.com,612-222-2222,5,,1,,,1,1,,1,1,1,1,1,
Player 3,player.3@gail.com,612-333-3333,0,,,,1,,,1,1,1,,,,
Player 4,player.4@gail.com,612-444-4444,4,1,,,1,1,1,1,,1,1,1,1,1
Player 5,player.5@gail.com,612-555-5555,4,,1,,,1,1,1,1,1,1,1,,1
Player 6,player.6@gail.com,612-666-6666,4,1, , ,,1,1,1,1,,1,1,1,1
Player 7,player.7@gail.com,612-777-7777,4,,,,1,,,,1,1,1,1,1,1
Player 8,player.8@gail.com,612-888-8888,4,,,1,,1,1,1,1,1,,1,1,1
Player 9,player.9@gail.com,612-999-9999,3,1,,,1,1,1,1,,1,1,1,1,1
Player 10,player.10@gail.com,612-101-1010,5,,1,1,,1,1,1,1,1,1,1,,
